"Keyword","Scopus","IFSMS"
"'DATE-RAPE' DRUGS",1,NA
"'ECSTASY'",1,NA
"'POST MORTEM' WHOLE BLOOD",1,NA
"'SPEED'",1,NA
"-141C INS/DEL",1,NA
"""""CHEMICAL FINGERPRINT""""",1,NA
"""""CHINESE HERBS""""",1,NA
"""""COUNTERFEIT DRUG"""" LABELLING WITHOUT AUTHORISATION, OF DRUG MANUFACTURERS",1,NA
"""""CRACK LUNG""""",1,NA
"""""DARE"""" (""""DRUG ABUSE RESISTANCE EDUCATION"""")",1,NA
"""""DATE-RAPE"""" DRUGS",1,NA
"""""DEATH IN THE MICROWAVE OVEN""""",1,NA
"""""GANGSTA""""/""""GANG-BANGER""""",1,NA
"""""GENERAL UNKNOWN SCREENING""""",1,NA
"""""KROKODIL"""" SYNTHESIS",1,NA
"""""LEGAL HIGHS""""",2,NA
"""""LIQUID ECSTASY""""",1,NA
"""""POPULAR"""" INTOXICATION",1,NA
"""""PSYCHOTIC EXPERIENCE""""",1,NA
"""""RESPONDEAT SUPERIOR"""" DOCTRINE",1,NA
"""""SEX-IN"""" AND """"BEAT-IN"""" GANG INITIATIONS",1,NA
"""""UFO""""",1,NA
"(-)-MENTHYLCHLOROFORMATE",1,NA
"(−)-TRANS-Δ9-TETRAHYDROCANNABINOL AND METABOLITES",1,NA
"( -)-DEPRENYL",1,NA
"(+)-N-METHYL-1-(1,3-BENZODIOXOL-5-YL)-2-BUTANAMINE",1,1
"(±)- EPHEDRINE",1,NA
"(±)-METHAMPHETAMINE",1,NA
"(±)-METHCATHINONE",1,NA
"(±)-PSEUDOEPHEDRINE",1,NA
"(1-(4-PENTENYL)-1H-INDOL-3-YL)(NAPHTHALEN-1-YL)METHANONE",1,1
"(1H-INDOL-3-YL)(2,2,3,3-TETRAMETHYLCYCLOPROPYL)METHANONE DERIVATIVES",1,1
"(2-METHOXYPHENYL)(1-PENTYL-1H-INDOL-3-YL)METHANONE",1,1
"(2″-OXO-PYRROLIDINO)VALEROPHENONE (2″-OXO- Α-PVP)",1,NA
"(4-ETHYL-1-NAPHTHALENYL)(2-METHYL-1-PENTYL-1H-INDOL-3-YL)METHANONE",1,1
"(4-METHOXYPHENYL)(1-PENTYL-1H-INDOL-3-YL)METHANONE",1,1
"(4-METHYLMETHCATHINONE, 4-MMC)",1,NA
"(4-METHYLPIPERAZIN-1-YL)(1-PENTYL- 1H-INDOL-3-YL)METHANONE (MEPIRAPIM)",1,NA
"(AMINOALKYL)INDOLE",1,1
"(BENZODIFURANYL)AMINOALKANES",1,1
"(BIO)SENSORS",1,1
"(BROMOMETHYL)NAPHTHALENE",1,NA
"(ESI-MS)",4,8
"(FTIR)",47,59
"(GC-MS)",567,304
"(HPLC)",161,170
"(HPTLC)",21,23
"(HUMAN SERUM)",1,NA
"(HUMAN URINE)",1,NA
"(ICP-MS)",23,20
"(LA-ICP-MS)",5,5
"(LC-GC/MS)",5,NA
"(LC-MS)",175,90
"(LC-MS/MS)",462,115
"(MALDI-MS)",2,2
"(MEKC)",8,20
"(PY-GC/MS)",2,2
"(R)-(+)-Α-METHOXY-Α-(TRIFLUROMETHYL) PHENYLACETIC ACID",1,NA
"(R)-MACROMERINE",1,1
"(R)-NORMACROMERINE",1,1
"(REAL-TIME PCR)",28,3
"(RFLP)",4,2
"(TETRAHYDROBENZODIFURANYL)AMINOALKANES",1,1
"(UHPLC)",19,19
"(UN)ACCOUNTABILITY",1,NA
"(UV)LASER-INDUCED FLUORESCENCE DETECTION",1,1
"(Z)-1,8-HEPTADECADIENE",1,NA
".",1,NA
"[ 35S]GTPΓS BINDING ASSAY",1,NA
"[1-(TETRAHYDROPYRAN-4-YLMETHYL)-1H-INDOL-3- YL]-(2,2,3,3-TETRAMETHYLCYCLOPROPYL)METHANONE",1,1
"[35S]-GTPΓS",1,NA
"[CA2+] OSCILLATION",1,NA
"[INFRARED] SPECTROSCOPY",1,NA
"‘BATH SALTS’",2,1
"‘EXIT BAG’",1,NA
"‘LEGAL HIGHS’",2,NA
"‘POPPERS’",1,NA
"‘RESEARCH CHEMICALS’",1,NA
"‘TRIPLE CONTRAST’ METHOD",1,NA
"“CURED” PSYCHOTIC PATIENTS",1,NA
"“KROKODIL”",1,NA
"“LEGAL HIGHS”",1,NA
"“PER SE” LAW",1,NA
"“PINK COCAINE”",1,NA
"∆9-TETRAHYDROCANNABINOL",1,NA
"§ 24A STVG (TRAFFIC LAW)",1,NA
"§ 64 GERMAN PENAL CODE",1,NA
"§24A (2) STVG",1,NA
"§24A SEC. 2 STVG",1,NA
"06-MONOACETYLMORPHINE",1,NA
"1",1,NA
"1-(1,3-BENZODIOXOL-5-YL)-2-BUTANAMINE",1,1
"1-(2-PHENETHYL)-4-(N-PROPIONYLANILINO)PIPERIDINE ANALOGUE",1,NA
"1-(2-PHENETHYL)-4-N-PROPIONYLANILINOPIPERIDINE",1,1
"1-(2,3-DIHYDRO-1H-INDEN-5-YL)-2-(PYRROLIDIN-1-YL)BUTAN-1-ONE",1,1
"1-(2,3-DIHYDRO-1H-INDEN-5-YL)-2-PHENYL-2-(PYRROLIDIN-1-YL)-ETHANONE",1,1
"1-(3- TRIFLUOROMETHYLPHENYL)PIPERAZINE",1,1
