Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Open Access,Source,EID,Active Webpage,Report,SubEvidence,Evidence
"Brettell T.A., Rudin N., Saferstein R.",6604035747;6602114968;6603724137;,Forensic science,2003,Analytical Chemistry,75,12,,2877,2890,,19,10.1021/ac0301447,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038793896&doi=10.1021%2fac0301447&partnerID=40&md5=13c1f73cf055f9e1651fb979bf70d894,"Forensic Science Laboratory Bureau, New Jersey State Police, Box 7068, West Trenton, NJ 08628-0068, United States; 1563 Solano Avenue, PMB506, Berkeley, CA 94707-2116, United States","Brettell, T.A., Forensic Science Laboratory Bureau, New Jersey State Police, Box 7068, West Trenton, NJ 08628-0068, United States; Rudin, N., 1563 Solano Avenue, PMB506, Berkeley, CA 94707-2116, United States; Saferstein, R.",,4 hydroxybutyric acid; alcohol; amphetamine derivative; benzodiazepine derivative; cocaine; DNA; explosive; morphine derivative; narcotic agent; petroleum derivative; volatile agent; analytic method; DNA determination; DNA fingerprinting; forensic identification; forensic science; gender; genetic database; gunshot injury; human; intoxication; nonhuman; review; sampling; tandem repeat; Animals; DNA; Forensic Sciences; Humans; Pharmaceutical Preparations,"Brettell, T.A.; Forensic Science Laboratory Bureau, , West Trenton, NJ 08628-0068, United States",Review,Final,,Scopus,2-s2.0-0038793896,,IFSMS 2004,Drugs,Drugs
Christian D.R. Jr.,,Analysis of controlled substances,2003,Forensic Science,,,,375,,,,,,,,,,,,,,,,,IFSMS 2004,Drugs,Drugs
"Cole M.D., Linacre A.M.T.",,Chemistry and analysis of phytocannabinoids and other Cannabis constituents,2002,Current Topics in Phytochemistry,3,,,129,,,,,,,,,,,,,,,,,IFSMS 2004,Drugs,Drugs
"Dal Cason T.A., Franzosa E.S.",,Occurrences and forms of the hallucinogens,2003,Hallucinogens,,,,37,,,,,,,,,,,,,,,,,IFSMS 2004,Drugs,Drugs
"Hugel J., Meyers J., Lankin D.",,Analysis of the hallucinogens,2003,Hallucinogens,,,,191,,,,,,,,,,,,,,,,,IFSMS 2004,Drugs,Drugs
"Klein R.F.X., Hays P.A.",,"Detection and analysis of drugs of forensic interest, 1992 - 2001, A literature review",2003,Microgram Journal,1,1--2,,55,,,,,https://www.erowid.org/library/periodicals/microgram/microgram_journal_2003-1.pdf#page=55,"U.S. Drug Enforcement Administration, Office of Forensic Sciences,  Laboratory Support Section, 2401 Jefferson Davis Highway, Alexandria, VA 22301, United States; U.S. Drug Enforcement Administration, Special Testing and Research Laboratory, 22624 Dulles Summit Court, Dulles, VA 20166, United States","Klein R.F.X., U.S. Drug Enforcement Administration, Office of Forensic Sciences,  Laboratory Support Section, 2401 Jefferson Davis Highway, Alexandria, VA 22301, United States; Hays P.A., U.S. Drug Enforcement Administration, Special Testing and Research Laboratory, 22624 Dulles Summit Court, Dulles, VA 20166, United States","Forensic Chemistry, Analytical Chemistry, Illicit Drugs, Controlled Substances, Review",,,Review,,,,,,IFSMS 2004,Drugs,Drugs
Bono J.P.,,Report of the Scientific Working Group for the Analysis of Seized Drugs (SWGDRUG) Conference,2003,Microgram Journal,1,3--4,,208,,,,,,,,,,,,,,,,,IFSMS 2004,Drugs,Drugs
"Bono J.P., Janovsky T.J.",,Scientific Working Group for the Analysis of Seized Drugs (SWGDRUG) - Update 2002,2004,Proceedings of the American Academy of Forensic Sciences,10,,,67,,,,,,,,,,,,,,,,,IFSMS 2004,Drugs,Drugs
"Janovsky T.J., Bono J.P.",,Scientific Working Group for the Analysis of Seized Drugs (SWGDRUG) - Update,2002,Proceedings of the American Academy of Forensic Sciences,8,,,30,,,,,,,,,,,,,,,,,IFSMS 2004,Drugs,Drugs
"Brown H., Kirkbride K.P., Pigou P.E., Walker G.S.",7401500500;56337473100;6603239644;57198743329;,"New Developments in SPME, Part 1: The Use of Vapor-Phase Deprotonation and On-Fiber Derivatization with Alkylchloroformates in the Analysis of Preparations Containing Amphetamines",2003,Journal of Forensic Sciences,48,6,,1231,1238,,14,10.1520/jfs2003117,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242442668&doi=10.1520%2fjfs2003117&partnerID=40&md5=51f7377c79c088dd5eef161f77b67cb1,"Flinders Univ. of South Australia, GPO Box 2100, Adelaide, SA, Australia; Forensic Science, South Australia, 21 Divett Place, Adelaide, SA, Australia; Forensic Science, SA, Forensic Science Centre, 21 Divett Place, Adelaide, SA 5000, Australia","Brown, H., Flinders Univ. of South Australia, GPO Box 2100, Adelaide, SA, Australia; Kirkbride, K.P., Forensic Science, South Australia, 21 Divett Place, Adelaide, SA, Australia, Forensic Science, SA, Forensic Science Centre, 21 Divett Place, Adelaide, SA 5000, Australia; Pigou, P.E., Forensic Science, South Australia, 21 Divett Place, Adelaide, SA, Australia; Walker, G.S., Flinders Univ. of South Australia, GPO Box 2100, Adelaide, SA, Australia",Amphetamine-type drugs; Chloroformates; Drug intelligence; Drug profiling; Forensic science; On-fiber derivatization; SPME,acetone; amphetamine derivative; carbamic acid derivative; chloroform; chloroformic acid ethyl ester; dimetamfetamine; menthyl chloroformate; methamphetamine; n butyl chloroformate; n ethyl n methylamphetamine; phenyl 2 propanone; pseudoephedrine; triethylamine; unclassified drug; urethan derivative; article; derivatization; dissolution; drug isolation; enantiomer; forensic science; gas chromatography; glove; mass spectrometry; priority journal; proton transport; qualitative analysis; solid phase microextraction; vapor,"Kirkbride, K.P.; Forensic Science, 21 Divett Place, Adelaide, SA 5000, Australia; email: kirkbride.paul@saugov.sa.gov.au",Article,Final,,Scopus,2-s2.0-0242442668,,IFSMS 2004,Drugs,Drugs
