Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Open Access,Source,EID
"Nyttingnes O., Benth J.Š., Hofstad T., Rugkåsa J.","16643071400;34567782500;57221013194;15063312800;","The relationship between area levels of involuntary psychiatric care and patient outcomes: a longitudinal national register study from Norway",2023,"BMC Psychiatry","23","1","112","","",,,"10.1186/s12888-023-04584-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148392942&doi=10.1186%2fs12888-023-04584-4&partnerID=40&md5=ed681f4205b777293a849197d07d519d","Health Services Research Unit, Akershus University Hospital, Nordbyhagen, Norway; Centre for Research and Education in Forensic Psychiatry, Haukeland University Hospital, Bergen, Norway; Institute of Clinical Medicine, University of Oslo, Oslo, Norway; Centre for Medical Ethics, University of Oslo, Oslo, Norway; Centre for Care Research, University of South-Eastern Norway, Notodden, Norway","Nyttingnes, O., Health Services Research Unit, Akershus University Hospital, Nordbyhagen, Norway, Centre for Research and Education in Forensic Psychiatry, Haukeland University Hospital, Bergen, Norway; Benth, J.Š., Health Services Research Unit, Akershus University Hospital, Nordbyhagen, Norway, Institute of Clinical Medicine, University of Oslo, Oslo, Norway; Hofstad, T., Centre for Research and Education in Forensic Psychiatry, Haukeland University Hospital, Bergen, Norway, Centre for Medical Ethics, University of Oslo, Oslo, Norway; Rugkåsa, J., Health Services Research Unit, Akershus University Hospital, Nordbyhagen, Norway, Centre for Care Research, University of South-Eastern Norway, Notodden, Norway","Coercion; Compulsion; Involuntary care; Mental health legislation; Register study; Severe mental disorders","adult; Article; case fatality rate; community mental health center; controlled study; disease severity; female; human; longitudinal study; major clinical study; male; mental disease; mental health care; morbidity; mortality; Norway; prevalence; retrospective study; risk reduction; schizophrenia; treatment outcome; urban area; adverse drug reaction; forensic psychiatry; mental disease; mental health; psychology; Commitment of Mentally Ill; Drug-Related Side Effects and Adverse Reactions; Humans; Longitudinal Studies; Mental Disorders; Mental Health; Norway","Nyttingnes, O.; Health Services Research Unit, Norway; email: olav.nyttingnes@ahus.no",Article,"Final","",Scopus,2-s2.0-85148392942
"Dash S., Vashisht N., Sinha S., Kumar A., Goyal K.","58073789400;58074307300;57464211000;58074046000;57464397900;","Forensic implication of seized drug imitating methamphetamine with mileage in crime",2023,"Egyptian Journal of Forensic Sciences","13","1","6","","",,,"10.1186/s41935-023-00325-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146689535&doi=10.1186%2fs41935-023-00325-6&partnerID=40&md5=d9a6097bfc834c22abc0f559994d227c","Chemistry Division, Forensic Science Laboratory, Sector 14, Rohini, Delhi, 110085, India","Dash, S., Chemistry Division, Forensic Science Laboratory, Sector 14, Rohini, Delhi, 110085, India; Vashisht, N., Chemistry Division, Forensic Science Laboratory, Sector 14, Rohini, Delhi, 110085, India; Sinha, S., Chemistry Division, Forensic Science Laboratory, Sector 14, Rohini, Delhi, 110085, India; Kumar, A., Chemistry Division, Forensic Science Laboratory, Sector 14, Rohini, Delhi, 110085, India; Goyal, K., Chemistry Division, Forensic Science Laboratory, Sector 14, Rohini, Delhi, 110085, India","Drug abuse; Fourier transform infrared spectrometer, Sodium thiosulfate; Imitating; Methamphetamine",,"Sinha, S.; Chemistry Division, Sector 14, Rohini, India; email: sweta.fsl@gmail.com",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85146689535
"Hasin D.S., Borodovsky J., Shmulewitz D., Walsh C., Struble C.A., Livne O., Habib M.I., Fink D.S., Aharonovich E., Budney A.","7004592487;36600078600;6506697834;57221488802;57201358911;40261942000;57729317000;55180150900;6602392450;35561868000;","Adult use of highly-potent Δ9-THC cannabis concentrate products by U.S. state cannabis legalization status, 2021",2023,"Addictive Behaviors","140",,"107617","","",,,"10.1016/j.addbeh.2023.107617","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147284143&doi=10.1016%2fj.addbeh.2023.107617&partnerID=40&md5=888ee0b3c6510a98d0cd49fe6c58c7a9","Department of Psychiatry, Columbia University Irving Medical Center, 1051 Riverside Drive, New York, NY  10032, United States; New York State Psychiatric Institute, 1051 Riverside Drive, New York, NY  10032, United States; Department of Epidemiology, Columbia University Mailman School of Public Health, 722 W 168th St, New York, NY  10032, United States; Department of Psychiatry, Dartmouth Geisel School of Medicine, One Medical Center Drive, Lebanon, NH  03756, United States","Hasin, D.S., Department of Psychiatry, Columbia University Irving Medical Center, 1051 Riverside Drive, New York, NY  10032, United States, New York State Psychiatric Institute, 1051 Riverside Drive, New York, NY  10032, United States, Department of Epidemiology, Columbia University Mailman School of Public Health, 722 W 168th St, New York, NY  10032, United States; Borodovsky, J., Department of Psychiatry, Dartmouth Geisel School of Medicine, One Medical Center Drive, Lebanon, NH  03756, United States; Shmulewitz, D., Department of Psychiatry, Columbia University Irving Medical Center, 1051 Riverside Drive, New York, NY  10032, United States, New York State Psychiatric Institute, 1051 Riverside Drive, New York, NY  10032, United States; Walsh, C., New York State Psychiatric Institute, 1051 Riverside Drive, New York, NY  10032, United States; Struble, C.A., Department of Psychiatry, Dartmouth Geisel School of Medicine, One Medical Center Drive, Lebanon, NH  03756, United States; Livne, O., Department of Psychiatry, Columbia University Irving Medical Center, 1051 Riverside Drive, New York, NY  10032, United States, New York State Psychiatric Institute, 1051 Riverside Drive, New York, NY  10032, United States; Habib, M.I., Department of Psychiatry, Dartmouth Geisel School of Medicine, One Medical Center Drive, Lebanon, NH  03756, United States; Fink, D.S., New York State Psychiatric Institute, 1051 Riverside Drive, New York, NY  10032, United States; Aharonovich, E., Department of Psychiatry, Columbia University Irving Medical Center, 1051 Riverside Drive, New York, NY  10032, United States, New York State Psychiatric Institute, 1051 Riverside Drive, New York, NY  10032, United States; Budney, A., Department of Psychiatry, Dartmouth Geisel School of Medicine, One Medical Center Drive, Lebanon, NH  03756, United States","Cannabis; Cannabis legalization; Cannabis potency; Concentrates; Marijuana; Vaping","cannabis; cannabis concentrate product; dronabinol; medical cannabis; tetrahydrocannabinol; unclassified drug; analgesic agent; medical cannabis; psychedelic agent; adult; aged; Article; cannabis use; degree of freedom; drug legislation; employment status; female; forensic medicine; health behavior; health survey; human; human experiment; law; logistic regression analysis; male; medical cannabis law; middle aged; plant product; questionnaire; recreational cannabis law; scientific literature; smoking; social media; unemployment; United States; vaping; Adult; Analgesics; Cannabis; Hallucinogens; Humans; Legislation, Drug; Medical Marijuana; United States","Hasin, D.S.; Department of Psychiatry, 1051 Riverside Drive, United States; email: dsh2@cumc.columbia.edu",Article,"Final","",Scopus,2-s2.0-85147284143
"Caldicott D.","6701473369;","The long road to introduce drug checking as a harm reduction strategy in Australia",2023,"EMA - Emergency Medicine Australasia","35","2",,"341","343",,1,"10.1111/1742-6723.14193","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149731410&doi=10.1111%2f1742-6723.14193&partnerID=40&md5=0d7eab08d70ad9305a07b89609eb145e","Emergency Department, Calvary Public Hospital Bruce, Canberra, ACT, Australia; ANU Medical School, Australian National University, Canberra, ACT, Australia","Caldicott, D., Emergency Department, Calvary Public Hospital Bruce, Canberra, ACT, Australia, ANU Medical School, Australian National University, Canberra, ACT, Australia",,"4 methoxyamphetamine; designer drug; illicit drug; midomafetamine; Australia; consumer; drug analysis; drug checking; drug contamination; drug identification; drug marketing; evidence based medicine; forensic medicine; harm reduction; health care policy; health legislation; health service; human; Netherlands; Note; public health; United States; Australia; drug overdose; harm reduction; Australia; Drug Overdose; Harm Reduction; Humans; Illicit Drugs","Caldicott, D.; ANU Medical School, Australia; email: david.caldicott@calvary-act.com.au",Note,"Final","",Scopus,2-s2.0-85149731410
"Cousins G., Durand L., O'Kane A., Tierney J., Maguire R., Stokes S., O'Reilly D., Arensman E., Bennett K.E., Vázquez M.O., Corcoran P., Lyons S., Kavanagh Y., Keenan E.","36561287000;57194593490;58125683100;58126060200;58126436100;36163697700;57208413266;6603445271;23079596400;57763231200;58086757600;7102022151;57226278881;14026845300;","Prescription drugs with potential for misuse: protocol for a multi-indicator analysis of supply, detection and the associated health burden in Ireland between 2010 and 2020",2023,"BMJ Open","13","3","e069665","","",,,"10.1136/bmjopen-2022-069665","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149281712&doi=10.1136%2fbmjopen-2022-069665&partnerID=40&md5=f9089dea1c0ad410d95fd09dbed377ab","School of Pharmacy and Biomolecular Sciences, Royal College of Surgeons in Ireland (RCSI), University of Medicine and Health Sciences, Dublin, Ireland; Forensic Toxicology, The State Laboratory, Kildare, Ireland; Medical Bureau of Road Safety, Health Science Centre, University College Dublin, Dublin, Ireland; National Drug Treatment Centre, Health Service Executive, Dublin, Ireland; Pharmacy, Irish Prison Service, Longford, Longford, Ireland; National Suicide Research Foundation, School of Public Health, University College Cork, Cork, Ireland; Data Science Centre, Population Health Sciences, Royal College of Surgeons in Ireland (RCSI), University of Medicine and Health Sciences, Dublin, Ireland; Uisce, National Advocacy Service for People Who Use Drugs in Ireland, Dublin, Ireland; National Health Information Systems, Health Research Board, Dublin, Ireland; Drug and Toxicology, Forensic Science Ireland, Dublin, Ireland; National Social Inclusion Office, Health Service Executive, Dublin, Ireland","Cousins, G., School of Pharmacy and Biomolecular Sciences, Royal College of Surgeons in Ireland (RCSI), University of Medicine and Health Sciences, Dublin, Ireland; Durand, L., School of Pharmacy and Biomolecular Sciences, Royal College of Surgeons in Ireland (RCSI), University of Medicine and Health Sciences, Dublin, Ireland; O'Kane, A., School of Pharmacy and Biomolecular Sciences, Royal College of Surgeons in Ireland (RCSI), University of Medicine and Health Sciences, Dublin, Ireland; Tierney, J., Forensic Toxicology, The State Laboratory, Kildare, Ireland; Maguire, R., Medical Bureau of Road Safety, Health Science Centre, University College Dublin, Dublin, Ireland; Stokes, S., National Drug Treatment Centre, Health Service Executive, Dublin, Ireland; O'Reilly, D., Pharmacy, Irish Prison Service, Longford, Longford, Ireland; Arensman, E., National Suicide Research Foundation, School of Public Health, University College Cork, Cork, Ireland; Bennett, K.E., Data Science Centre, Population Health Sciences, Royal College of Surgeons in Ireland (RCSI), University of Medicine and Health Sciences, Dublin, Ireland; Vázquez, M.O., Uisce, National Advocacy Service for People Who Use Drugs in Ireland, Dublin, Ireland; Corcoran, P., National Suicide Research Foundation, School of Public Health, University College Cork, Cork, Ireland; Lyons, S., National Health Information Systems, Health Research Board, Dublin, Ireland; Kavanagh, Y., Drug and Toxicology, Forensic Science Ireland, Dublin, Ireland; Keenan, E., National Social Inclusion Office, Health Service Executive, Dublin, Ireland","FORENSIC MEDICINE; PUBLIC HEALTH; Substance misuse; Suicide & self-harm","adinazolam; alfentanil; alprazolam; atomoxetine; bromazepam; buprenorphine; central stimulant agent; chlordiazepoxide; clobazam; clonazepam; clorazepate; codeine; dexamphetamine; diazepam; dihydrocodeine; estazolam; etizolam; fentanyl; flunitrazepam; flurazepam; gabapentin; hydrocodone; hydromorphone; idebenone; lisdexamfetamine; lorazepam; lormetazepam; meptazinol; methadone; methylphenidate; midazolam; modafinil; morphine; nalbuphine; nitrazepam; oxazepam; oxycodone; pentazocine; pethidine; phenazepam; prazepam; pregabalin; prescription drug; solriamfetol; tapentadol; temazepam; tramadol; triazolam; zolpidem; zopiclone; narcotic analgesic agent; Article; clinical protocol; community; correctional facility; cross-sectional study; disease burden; drug intoxication; drug overdose; drug use; epidemiological monitoring; forensic toxicology; health care delivery; health survey; human; Ireland; law enforcement; medical record; observational study; prescription drug misuse; primary medical care; retrospective study; trend study; epidemiology; prescription; Analgesics, Opioid; Cross-Sectional Studies; Humans; Ireland; Observational Studies as Topic; Prescription Drugs; Prescriptions","Cousins, G.; School of Pharmacy and Biomolecular Sciences, Ireland; email: gcousins@rcsi.ie",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85149281712
"Dawnay N., Sheppard K.","22979024300;57193275620;","From crime scene to courtroom: A review of the current bioanalytical evidence workflows used in rape and sexual assault investigations in the United Kingdom",2023,"Science and Justice","63","2",,"206","228",,,"10.1016/j.scijus.2022.12.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146471466&doi=10.1016%2fj.scijus.2022.12.006&partnerID=40&md5=19b4bed0c51b6f89ec04f396b975be11","School of Pharmacy and Biomolecular Sciences, Liverpool John Moores University, Byrom Street, Liverpool, L3 3AF, United Kingdom","Dawnay, N., School of Pharmacy and Biomolecular Sciences, Liverpool John Moores University, Byrom Street, Liverpool, L3 3AF, United Kingdom; Sheppard, K., School of Pharmacy and Biomolecular Sciences, Liverpool John Moores University, Byrom Street, Liverpool, L3 3AF, United Kingdom","Body fluid identification; DFSA; DNA; Forensic; Rape; RASSO; Sexual assault","body fluid; crime; human; rape; United Kingdom; workflow; Body Fluids; Crime; Humans; Rape; United Kingdom; Workflow","Dawnay, N.; School of Pharmacy and Biomolecular Sciences, Byrom Street, United Kingdom; email: n.dawnay@ljmu.ac.uk",Review,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85146471466
"Rodrigues C.H.P., Bruni A.T.","57201549776;8265357000;","Dialogue between Chemistry and Law: A Necessary Approach to Drug Law [Diálogo entre a Química E O Direito: Uma Aproximação Necessária para a Lei de Drogas] [El Diálogo entre la Química y el Derecho: Un Enfoque Necesario para la Ley de Drogas]",2023,"Revista Brasileira de Ciencias Policiais","14","11",,"387","423",,,"10.31412/rbcp.v14i11.972","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150855928&doi=10.31412%2frbcp.v14i11.972&partnerID=40&md5=894d5ab94b171fc4db9ed959ce0fd59a","Ciências Doutorando em Ciências Universidade de São Paulo, SP, Ribeirão Preto, Brazil; Ciências Universidade de São Paulo, SP, Ribeirão Preto, Brazil","Rodrigues, C.H.P., Ciências Doutorando em Ciências Universidade de São Paulo, SP, Ribeirão Preto, Brazil; Bruni, A.T., Ciências Universidade de São Paulo, SP, Ribeirão Preto, Brazil","drug law; drugs; expertise; forensic chemistry; new psychoactive substances",,,Article,"Final","",Scopus,2-s2.0-85150855928
"Wermelinger M., Coppey F., Gasté L., Esseiva P.","58107836700;57219281806;16052762800;8660271000;","Exploring the added value of portable devices such as near infrared spectrometer in the field of illicit drugs analyses",2023,"Forensic Science International",,,"111605","","",,,"10.1016/j.forsciint.2023.111605","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148367728&doi=10.1016%2fj.forsciint.2023.111605&partnerID=40&md5=6ef06f869ef97c6b82d93c313516de1a","Ecole des Sciences Criminelles, Université de Lausanne, Switzerland; Section forensique, Police Cantonale de Genève, Switzerland","Wermelinger, M., Ecole des Sciences Criminelles, Université de Lausanne, Switzerland, Section forensique, Police Cantonale de Genève, Switzerland; Coppey, F., Ecole des Sciences Criminelles, Université de Lausanne, Switzerland; Gasté, L., Ecole des Sciences Criminelles, Université de Lausanne, Switzerland; Esseiva, P., Ecole des Sciences Criminelles, Université de Lausanne, Switzerland","Cocaine; Conclusions strengthening; Decision making; Heroin; Intelligence-led sampling; Near infrared; Prioritisation; Rapid analyses",,"Wermelinger, M.; Ecole des Sciences Criminelles, Switzerland; email: marc.wermelinger@unil.ch",Article,"Article in Press","",Scopus,2-s2.0-85148367728
"Almeida-González M., Boada L.D., Burillo-Putze G., Henríquez-Hernández L.A., Luzardo O.P., Quintana-Montesdeoca M.P., Zumbado M.","36450107800;6603916807;6701425740;15829708200;6507534124;57053477400;6603459604;","Ethanol and Medical Psychotropics Co-Consumption in European Countries: Results from a Three-Year Retrospective Study of Forensic Samples in Spain",2023,"Toxics","11","1","45","","",,,"10.3390/toxics11010045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146797307&doi=10.3390%2ftoxics11010045&partnerID=40&md5=cf9f248f3ba445bf584036fc62c304b2","Institute of Legal Medicine of Las Palmas, Las Palmas de Gran Canaria, 35016, Spain; Emergency Department, Hospital Universitario de Canarias, San Cristóbal de La Laguna, 38320, Spain; Toxicology Unit, Research Institute of Biomedical and Health Sciences (IUIBS), Universidad de Las Palmas de Gran Canaria, Las Palmas de Gran Canaria, 35016, Spain","Almeida-González, M., Institute of Legal Medicine of Las Palmas, Las Palmas de Gran Canaria, 35016, Spain; Boada, L.D., Institute of Legal Medicine of Las Palmas, Las Palmas de Gran Canaria, 35016, Spain; Burillo-Putze, G., Emergency Department, Hospital Universitario de Canarias, San Cristóbal de La Laguna, 38320, Spain; Henríquez-Hernández, L.A., Toxicology Unit, Research Institute of Biomedical and Health Sciences (IUIBS), Universidad de Las Palmas de Gran Canaria, Las Palmas de Gran Canaria, 35016, Spain; Luzardo, O.P., Toxicology Unit, Research Institute of Biomedical and Health Sciences (IUIBS), Universidad de Las Palmas de Gran Canaria, Las Palmas de Gran Canaria, 35016, Spain; Quintana-Montesdeoca, M.P., Toxicology Unit, Research Institute of Biomedical and Health Sciences (IUIBS), Universidad de Las Palmas de Gran Canaria, Las Palmas de Gran Canaria, 35016, Spain; Zumbado, M., Toxicology Unit, Research Institute of Biomedical and Health Sciences (IUIBS), Universidad de Las Palmas de Gran Canaria, Las Palmas de Gran Canaria, 35016, Spain","blood alcohol concentrations; compulsory autopsies; medical psychotropics; polypharmacy; toxicological findings","alcohol; psychotropic agent; adult; alcohol blood level; alcohol consumption; Article; autopsy; blood sampling; consumer; controlled study; European; female; human; human tissue; law; male; polypharmacy; prevalence; retrospective study; Spain; toxicology","Zumbado, M.; Toxicology Unit, Spain; email: manuel.zumbado@ulpgc.es",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85146797307
"Gosetti F., Consonni V., Ballabio D., Orlandi M.E., Amodio A., Valeria Picci M., Visentin M., Termopoli V.","9433223800;6603405057;13408766700;7005613257;58044563900;58043936500;58044432500;25923186100;","From the Streets to the Judicial Evidence: Determination of Traditional Illicit Substances in Drug Seizures by a Rapid and Sensitive UHPLC-MS/MS-Based Platform",2023,"Molecules","28","1","164","","",,,"10.3390/molecules28010164","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145693002&doi=10.3390%2fmolecules28010164&partnerID=40&md5=feb91f7b5d78905128a5edf8687d54b5","Department of Earth and Environmental Sciences, University of Milano-Bicocca, Piazza della Scienza 1, Milan, 20126, Italy; Legione Carabinieri Lombardia, Comando Provinciale di Milano Sezione, Investigazioni Scientifiche L.A.S.S., Via V. Monti 58, Milan, 20145, Italy; Gabinetto Regionale di Polizia Scientifica per la Lombardia, Polizia di Stato, Via Fatebenefratelli 11, Milan, 20121, Italy","Gosetti, F., Department of Earth and Environmental Sciences, University of Milano-Bicocca, Piazza della Scienza 1, Milan, 20126, Italy; Consonni, V., Department of Earth and Environmental Sciences, University of Milano-Bicocca, Piazza della Scienza 1, Milan, 20126, Italy; Ballabio, D., Department of Earth and Environmental Sciences, University of Milano-Bicocca, Piazza della Scienza 1, Milan, 20126, Italy; Orlandi, M.E., Department of Earth and Environmental Sciences, University of Milano-Bicocca, Piazza della Scienza 1, Milan, 20126, Italy; Amodio, A., Legione Carabinieri Lombardia, Comando Provinciale di Milano Sezione, Investigazioni Scientifiche L.A.S.S., Via V. Monti 58, Milan, 20145, Italy; Valeria Picci, M., Gabinetto Regionale di Polizia Scientifica per la Lombardia, Polizia di Stato, Via Fatebenefratelli 11, Milan, 20121, Italy; Visentin, M., Gabinetto Regionale di Polizia Scientifica per la Lombardia, Polizia di Stato, Via Fatebenefratelli 11, Milan, 20121, Italy; Termopoli, V., Department of Earth and Environmental Sciences, University of Milano-Bicocca, Piazza della Scienza 1, Milan, 20126, Italy","drugs of abuse mass spectrometry; illicit substances; psychotropic substances; street seizures; UHPLC-MS/MS","amphetamine; methamphetamine; high performance liquid chromatography; human; procedures; substance abuse; tandem mass spectrometry; Amphetamine; Chromatography, High Pressure Liquid; Humans; Illicit Drugs; Methamphetamine; Substance Abuse Detection; Tandem Mass Spectrometry","Ballabio, D.; Department of Earth and Environmental Sciences, Piazza della Scienza 1, Italy; email: davide.ballabio@unimib.it
Termopoli, V.; Department of Earth and Environmental Sciences, Piazza della Scienza 1, Italy; email: veronica.termopoli@unimib.it",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85145693002
