Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Open Access,Source,EID
"Wang P., Liu X.-Y., Liu Y., Luo Y.-F., Wang Z.","57207945626;57207946698;57207951501;57207947822;57207946158;","Qualitative and Quantitative Analysis of Cathinones in Human Urine by SPEGC- MS [人体尿液中卡西酮类毒品的SPE-GC-MS定性定量分析]",2018,"Journal of Forensic Medicine","34","6",,"606","610",,4,"10.12116/j.issn.1004-5619.2018.06.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063349655&doi=10.12116%2fj.issn.1004-5619.2018.06.006&partnerID=40&md5=71268c5c2a3073c020d282fc3839b388","Guangzhou Accurate and Correct Test Company, Guangzhou, 510663, China; Guangdong Accurate and Correct Institution of Forensic Sciences, Guangzhou, 510663, China; Guangzhou Wondfo Biotech Co. Ltd., Guangzhou, 510663, China","Wang, P., Guangzhou Accurate and Correct Test Company, Guangzhou, 510663, China, Guangdong Accurate and Correct Institution of Forensic Sciences, Guangzhou, 510663, China; Liu, X.-Y., Guangzhou Accurate and Correct Test Company, Guangzhou, 510663, China, Guangdong Accurate and Correct Institution of Forensic Sciences, Guangzhou, 510663, China, Guangzhou Wondfo Biotech Co. Ltd., Guangzhou, 510663, China; Liu, Y., Guangzhou Accurate and Correct Test Company, Guangzhou, 510663, China, Guangdong Accurate and Correct Institution of Forensic Sciences, Guangzhou, 510663, China; Luo, Y.-F., Guangzhou Accurate and Correct Test Company, Guangzhou, 510663, China, Guangdong Accurate and Correct Institution of Forensic Sciences, Guangzhou, 510663, China; Wang, Z., Guangzhou Accurate and Correct Test Company, Guangzhou, 510663, China, Guangdong Accurate and Correct Institution of Forensic Sciences, Guangzhou, 510663, China","3, 4-methylenedioxy-N-methylcathinone; 4-methyl methcathinone; Forensic toxicology; Gas chromatography-mass spectrometry; Methcathinone; Solid phase extraction; Urine","alkaloid; cathinone; human; mass fragmentography; reproducibility; sensitivity and specificity; solid phase extraction; spectroscopy; urine; Alkaloids; Gas Chromatography-Mass Spectrometry; Humans; Reproducibility of Results; Sensitivity and Specificity; Solid Phase Extraction; Spectrum Analysis","Liu, X.-Y.; Guangzhou Accurate and Correct Test CompanyChina; email: xyliu@wondfo.com.cn",Article,"Final","",Scopus,2-s2.0-85063349655
"Wang C.-Y., Yang L.-P.","57207948238;57207946856;","Analysis of 13 Cases of Abnormal Death after Drinking [酒后非正常死亡案例分析13例]",2018,"Journal of Forensic Medicine","34","6",,"648","649",,,"10.12116/j.issn.1004-5619.2018.06.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063342997&doi=10.12116%2fj.issn.1004-5619.2018.06.015&partnerID=40&md5=63f79ebd4cb41ff5fabef49e78f80c74","Institute of Criminal Science and Technology, Shaoxing Public Security Bureau, Shaoxing, Zhejiang Province  312000, China; Wujin District Branch of Changzhou Public Security Bureau, Changzhou, Jiangsu Province  213100, China","Wang, C.-Y., Institute of Criminal Science and Technology, Shaoxing Public Security Bureau, Shaoxing, Zhejiang Province  312000, China; Yang, L.-P., Wujin District Branch of Changzhou Public Security Bureau, Changzhou, Jiangsu Province  213100, China","Alcohol drinking; Case analysis; Cause of death; Forensic pathology","asphyxia; cause of death; drinking behavior; drowning; human; retrospective study; Alcohol Drinking; Asphyxia; Cause of Death; Drowning; Humans; Retrospective Studies",,Article,"Final","",Scopus,2-s2.0-85063342997
"Deng Y.-F., Liu L., Yang Z.-X., Liang M.","57207947927;56106215400;57208033278;7202299457;","Research Status of New Designer Drug Methcathinone in Forensic Toxicology [新型策划药甲卡西酮的法医毒理学研究现状]",2018,"Journal of Forensic Medicine","34","6",,"611","616",,2,"10.12116/j.issn.1004-5619.2018.06.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063338986&doi=10.12116%2fj.issn.1004-5619.2018.06.007&partnerID=40&md5=17561af8292f3b44d0bee2584aa80c15","Department of Forensic Medicine, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430030, China; Chongqing Zhengding Judicial Identification Institute, Key Laboratory of Birth Defects and Reproductive Health of National Health and Family Planning Commission, Chongqing Popula-tion and Family Planning Science and Technology Research Institute, Chongqing, 400020, China","Deng, Y.-F., Department of Forensic Medicine, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430030, China; Liu, L., Department of Forensic Medicine, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430030, China; Yang, Z.-X., Chongqing Zhengding Judicial Identification Institute, Key Laboratory of Birth Defects and Reproductive Health of National Health and Family Planning Commission, Chongqing Popula-tion and Family Planning Science and Technology Research Institute, Chongqing, 400020, China; Liang, M., Department of Forensic Medicine, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430030, China","Designer drug; Forensic toxicology; Methcathinone; Review","central stimulant agent; designer drug; monomethylpropion; propiophenone derivative; forensic toxicology; Central Nervous System Stimulants; Designer Drugs; Forensic Toxicology; Propiophenones","Yang, Z.-X.; Chongqing Zhengding Judicial Identification Institute, China; email: iamyangzhixi@163.com",Review,"Final","",Scopus,2-s2.0-85063338986
"Liu S.-D., Min T., Wang M., Zhang D.-M.","57194533482;57207950573;57207945302;35202529200;","Retention Time of Four Common Poisons(Drugs)by GC-MS Qualitative Analysis [4种常见毒(药)物GC-MS定性分析的保留时间]",2018,"Journal of Forensic Medicine","34","6",,"595","600",,,"10.12116/j.issn.1004-5619.2020.02.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063336487&doi=10.12116%2fj.issn.1004-5619.2020.02.013&partnerID=40&md5=60639110bb157dae46f2ea77e2f5c0a9","School of Forensic Medicine, Shanxi Medical University, Taiyuan, 030001, China; Forensic Judicial Appraisal Center of Beijing Public Security Bureau, Beijing, 100192, China","Liu, S.-D., School of Forensic Medicine, Shanxi Medical University, Taiyuan, 030001, China; Min, T., School of Forensic Medicine, Shanxi Medical University, Taiyuan, 030001, China; Wang, M., Forensic Judicial Appraisal Center of Beijing Public Security Bureau, Beijing, 100192, China; Zhang, D.-M., Forensic Judicial Appraisal Center of Beijing Public Security Bureau, Beijing, 100192, China","Diazepam; Dichlorvos; Estazolam; Forensic toxicology; Gas chromatography-mass spectrometry; Phorate; Retention time","intoxication; mass fragmentography; Gas Chromatography-Mass Spectrometry; Poisons",,Article,"Final","",Scopus,2-s2.0-85063336487
"Ye X., Shi C., Shen Y.-W., Zhao Z.-Q., Jiang Y., Li L.-L.","57195546942;57202334243;7404768168;7404148989;56180096000;56739042900;","Forensic Analysis of 24 Cases of Long-term Antipsychotics Use-Induced Sudden Unexpected Deaths [24例长期服用精神类药物致猝死的法医学分析]",2018,"Journal of Forensic Medicine","34","6",,"644","647",,5,"10.12116/j.issn.1004-5619.2018.06.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063324340&doi=10.12116%2fj.issn.1004-5619.2018.06.014&partnerID=40&md5=88067422403777579e8a8d559c10e8d6","Department of Forensic Medicine, School of Basic Medical Sciences, Fudan University, Shanghai, 200032, China; Institute of Criminal Science and Technology, Hongkou Branch of Shanghai Public Security Bu-reau, Shanghai, 200434, China","Ye, X., Department of Forensic Medicine, School of Basic Medical Sciences, Fudan University, Shanghai, 200032, China; Shi, C., Institute of Criminal Science and Technology, Hongkou Branch of Shanghai Public Security Bu-reau, Shanghai, 200434, China; Shen, Y.-W., Department of Forensic Medicine, School of Basic Medical Sciences, Fudan University, Shanghai, 200032, China; Zhao, Z.-Q., Department of Forensic Medicine, School of Basic Medical Sciences, Fudan University, Shanghai, 200032, China; Jiang, Y., Department of Forensic Medicine, School of Basic Medical Sciences, Fudan University, Shanghai, 200032, China; Li, L.-L., Department of Forensic Medicine, School of Basic Medical Sciences, Fudan University, Shanghai, 200032, China","Case analysis; Death, sudden; Forensic pathology; Forensic psychiatry; Psychotropic drugs; Retrospective studies","neuroleptic agent; aged; autopsy; cause of death; female; human; male; middle aged; retrospective study; schizophrenia; sudden death; Aged; Antipsychotic Agents; Autopsy; Cause of Death; Death, Sudden; Female; Humans; Male; Middle Aged; Retrospective Studies; Schizophrenia","Li, L.-L.; Department of Forensic Medicine, China; email: liliangli11@fudan.edu.cn",Article,"Final","",Scopus,2-s2.0-85063324340
"Kernalléguen A., Enjalbal C., Alvarez J.-C., Belgacem O., Léonetti G., Lafitte D., Pélissier-Alicot A.-L.","57200521452;7003911908;57199919196;57204093054;7102806686;56150797800;6603446369;","Synthetic cannabinoid isomers characterization by MALDI-MS3 imaging: Application to single scalp hair",2018,"Analytica Chimica Acta","1041",,,"87","93",,12,"10.1016/j.aca.2018.09.036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053692975&doi=10.1016%2fj.aca.2018.09.036&partnerID=40&md5=6272b8626997c80fb0aafc42098ec78b","Aix Marseille Univ, UMR-MD1 MT2, Inserm U-1261, 27 boulevard Jean Moulin, Marseille, 13005, France; Aix Marseille Univ, CNRS, EFS, ADES, 27 boulevard Jean Moulin, Marseille, 13005, France; Montpellier Univ, IBMM, UMR 5247, 15 av Charles Flahault, BP 1449, Montpellier Cedex 5, 34093, France; Versailles Saint-Quentin Univ, INSERM U-1173, MassSpecLab, UFR Sciences de la Santé Simone Veil, 2 avenue de la Source de la Bièvre, Montigny-le-Bretonneux, 78180, France; APHP, CHU Raymond Poincaré, Laboratoire de Pharmacologie-Toxicologie, 104, boulevard Raymond-Poincaré, Garches, 92380, France; Shimadzu, Manchester, M17 IGP, United Kingdom; Aix Marseille Univ, APHM, CHU Timone, Service de Médecine Légale, 27 boulevard Jean Moulin, Marseille, 13005, France; Ascend Diagnostics, Citylabs 1.0, Nelson St, Manchester, M13 9nq, United Kingdom","Kernalléguen, A., Aix Marseille Univ, UMR-MD1 MT2, Inserm U-1261, 27 boulevard Jean Moulin, Marseille, 13005, France, Aix Marseille Univ, CNRS, EFS, ADES, 27 boulevard Jean Moulin, Marseille, 13005, France; Enjalbal, C., Montpellier Univ, IBMM, UMR 5247, 15 av Charles Flahault, BP 1449, Montpellier Cedex 5, 34093, France; Alvarez, J.-C., Versailles Saint-Quentin Univ, INSERM U-1173, MassSpecLab, UFR Sciences de la Santé Simone Veil, 2 avenue de la Source de la Bièvre, Montigny-le-Bretonneux, 78180, France, APHP, CHU Raymond Poincaré, Laboratoire de Pharmacologie-Toxicologie, 104, boulevard Raymond-Poincaré, Garches, 92380, France; Belgacem, O., Shimadzu, Manchester, M17 IGP, United Kingdom, Ascend Diagnostics, Citylabs 1.0, Nelson St, Manchester, M13 9nq, United Kingdom; Léonetti, G., Aix Marseille Univ, CNRS, EFS, ADES, 27 boulevard Jean Moulin, Marseille, 13005, France, Aix Marseille Univ, APHM, CHU Timone, Service de Médecine Légale, 27 boulevard Jean Moulin, Marseille, 13005, France; Lafitte, D., Aix Marseille Univ, UMR-MD1 MT2, Inserm U-1261, 27 boulevard Jean Moulin, Marseille, 13005, France; Pélissier-Alicot, A.-L., Aix Marseille Univ, APHM, CHU Timone, Service de Médecine Légale, 27 boulevard Jean Moulin, Marseille, 13005, France","Drug analysis; Hair; Matrix-assisted laser desorption/ionization mass spectrometry-MSn; Synthetic cannabinoids","Desorption; Digital forensics; Drug products; Gas chromatography; Isomers; Liquid chromatography; Mass spectrometry; Spatial distribution; Conventional techniques; Drug analysis; Hair; Matrix assisted laser desorption/ionization; Matrix-assisted laser desorption/ionization mass spectrometry; Pharmacokinetic parameters; Synthetic cannabinoids; Tandem mass spectrometry; Molecular imaging; cannabinoid; Article; controlled study; fragmentation reaction; hair analysis; human; human tissue; isomer; limit of detection; liquid chromatography-mass spectrometry; mass fragmentography; matrix-assisted laser desorption-ionization mass spectrometry; priority journal; scalp hair; sensitivity analysis; structure analysis; synthesis","Kernalléguen, A.; Plateforme PIT2, 27 boulevard Jean Moulin, France; email: angeline.kernalleguen@hotmail.fr",Article,"Final","",Scopus,2-s2.0-85053692975
"Aimola L., Jasim S., Tripathi N., Bassett P., Quirk A., Worrall A., Tucker S., Holder S., Crawford M.J.","9742509400;57188553675;57188561703;8725282000;36106462200;7004022722;37062148900;57188553455;57203219698;","Impact of a peer-review network on the quality of inpatient low secure mental health services: Cluster randomised control trial",2018,"BMC Health Services Research","18","1","994","","",,3,"10.1186/s12913-018-3797-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058923269&doi=10.1186%2fs12913-018-3797-z&partnerID=40&md5=49819ad72dc02cf8751376977a535508","Centre for Psychiatry, Imperial College London, London, W12 0NN 759 Q3Q4, United Kingdom; Royal College of Psychiatrists' College Centre for Quality Improvement, 21 Prescot Street, London, E1 8BB, United Kingdom; Cygnet Hospital Stevenage, Graveley Road, Stevenage, SG1 4YS, United Kingdom; Statsconsultancy Ltd, Amersham, HP7 9EN, United Kingdom; Institute of Group Analysis, 1 Daleham Gardens, London, NW3 5BY, United Kingdom","Aimola, L., Centre for Psychiatry, Imperial College London, London, W12 0NN 759 Q3Q4, United Kingdom, Royal College of Psychiatrists' College Centre for Quality Improvement, 21 Prescot Street, London, E1 8BB, United Kingdom; Jasim, S., Royal College of Psychiatrists' College Centre for Quality Improvement, 21 Prescot Street, London, E1 8BB, United Kingdom; Tripathi, N., Cygnet Hospital Stevenage, Graveley Road, Stevenage, SG1 4YS, United Kingdom; Bassett, P., Statsconsultancy Ltd, Amersham, HP7 9EN, United Kingdom; Quirk, A., Royal College of Psychiatrists' College Centre for Quality Improvement, 21 Prescot Street, London, E1 8BB, United Kingdom; Worrall, A., Royal College of Psychiatrists' College Centre for Quality Improvement, 21 Prescot Street, London, E1 8BB, United Kingdom; Tucker, S., Institute of Group Analysis, 1 Daleham Gardens, London, NW3 5BY, United Kingdom; Holder, S., Royal College of Psychiatrists' College Centre for Quality Improvement, 21 Prescot Street, London, E1 8BB, United Kingdom; Crawford, M.J., Centre for Psychiatry, Imperial College London, London, W12 0NN 759 Q3Q4, United Kingdom, Royal College of Psychiatrists' College Centre for Quality Improvement, 21 Prescot Street, London, E1 8BB, United Kingdom","Forensic mental health; Low secure services; Peer-review networks; Quality improvement; Randomised trial","accreditation; adult; article; assault; burnout; clinical article; controlled study; drug safety; female; follow up; hospital patient; human; male; mental health service; peer review; psychological well-being; randomization; randomized controlled trial; registration; satisfaction; staff; total quality management; adolescent; aged; cluster analysis; hospital patient; involuntary commitment; mental disease; mental health; mental health service; middle aged; patient satisfaction; peer review; psychology; retrospective study; single blind procedure; standards; total quality management; young adult; Adolescent; Adult; Aged; Cluster Analysis; Female; Humans; Inpatients; Involuntary Treatment, Psychiatric; Male; Mental Disorders; Mental Health; Mental Health Services; Middle Aged; Patient Satisfaction; Peer Review; Quality Improvement; Retrospective Studies; Single-Blind Method; Young Adult","Aimola, L.; Centre for Psychiatry, United Kingdom; email: l.aimola@imperial.ac.uk",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85058923269
"Rosado T., Oppolzer D., Cruz B., Barroso M., Varela S., Oliveira V., Leitão C., Gallardo E.","57191891820;55623902200;57204529882;35329243100;57204532927;7006105351;57193098264;57197920214;","Development and validation of a gas chromatography/tandem mass spectrometry method for simultaneous quantitation of several antipsychotics in human plasma and oral fluid",2018,"Rapid Communications in Mass Spectrometry","32","23",,"2081","2095",,16,"10.1002/rcm.8087","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055980138&doi=10.1002%2frcm.8087&partnerID=40&md5=c47a2cbf9588734ac004d7a4eccf575f","Centro de Investigação em Ciências da Saúde, Universidade da Beira Interior (CICS-UBI), Covilhã, Portugal; Laboratório de Fármaco-Toxicologia-UBIMedical, Universidade da Beira Interior, Covilhã, Portugal; Serviço de Química e Toxicologia Forenses, Instituto Nacional de Medicina Legal e Ciências Forenses, Delegação do Sul, Lisboa, Portugal; Centro Hospitalar Cova da Beira, E.P.E, Departamento de Psiquiatria e Saúde Mental, Covilhã, Portugal","Rosado, T., Centro de Investigação em Ciências da Saúde, Universidade da Beira Interior (CICS-UBI), Covilhã, Portugal, Laboratório de Fármaco-Toxicologia-UBIMedical, Universidade da Beira Interior, Covilhã, Portugal; Oppolzer, D., Centro de Investigação em Ciências da Saúde, Universidade da Beira Interior (CICS-UBI), Covilhã, Portugal; Cruz, B., Centro de Investigação em Ciências da Saúde, Universidade da Beira Interior (CICS-UBI), Covilhã, Portugal; Barroso, M., Serviço de Química e Toxicologia Forenses, Instituto Nacional de Medicina Legal e Ciências Forenses, Delegação do Sul, Lisboa, Portugal; Varela, S., Centro Hospitalar Cova da Beira, E.P.E, Departamento de Psiquiatria e Saúde Mental, Covilhã, Portugal; Oliveira, V., Centro Hospitalar Cova da Beira, E.P.E, Departamento de Psiquiatria e Saúde Mental, Covilhã, Portugal; Leitão, C., Centro Hospitalar Cova da Beira, E.P.E, Departamento de Psiquiatria e Saúde Mental, Covilhã, Portugal; Gallardo, E., Centro de Investigação em Ciências da Saúde, Universidade da Beira Interior (CICS-UBI), Covilhã, Portugal, Laboratório de Fármaco-Toxicologia-UBIMedical, Universidade da Beira Interior, Covilhã, Portugal",,"clozapine; cyamemazine; neuroleptic agent; phenothiazine derivative; blood; chemistry; evaluation study; human; isolation and purification; mass fragmentography; plasma; procedures; saliva; solid phase extraction; tandem mass spectrometry; Antipsychotic Agents; Clozapine; Gas Chromatography-Mass Spectrometry; Humans; Phenothiazines; Plasma; Saliva; Solid Phase Extraction; Tandem Mass Spectrometry","Gallardo, E.; Centro de Investigação em Ciências da Saúde, Portugal; email: egallardo@fcsaude.ubi.pt",Article,"Final","",Scopus,2-s2.0-85055980138
"Sathyanarayanan G., Haapala M., Sikanen T.","57193490993;13409764200;8699311200;","Interfacing digital microfluidics with ambient mass spectrometry using su-8 as dielectric layer",2018,"Micromachines","9","12","649","","",,9,"10.3390/mi9120649","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059027432&doi=10.3390%2fmi9120649&partnerID=40&md5=f08e6a2c72859aee346f96deff02c94f","Drug Research Program, Faculty of Pharmacy, Division of Pharmaceutical Chemistry and Technology, University of Helsinki, Viikinkaari 5E, Helsinki, 00790, Finland","Sathyanarayanan, G., Drug Research Program, Faculty of Pharmacy, Division of Pharmaceutical Chemistry and Technology, University of Helsinki, Viikinkaari 5E, Helsinki, 00790, Finland; Haapala, M., Drug Research Program, Faculty of Pharmacy, Division of Pharmaceutical Chemistry and Technology, University of Helsinki, Viikinkaari 5E, Helsinki, 00790, Finland; Sikanen, T., Drug Research Program, Faculty of Pharmacy, Division of Pharmaceutical Chemistry and Technology, University of Helsinki, Viikinkaari 5E, Helsinki, 00790, Finland","Ambient mass spectrometry; Cytochrome P450; Desorption atmospheric pressure photoionization; Desorption/ionization; Digital microfluidics; Drug distribution; Drug metabolism; Liquid-liquid extraction; Microreactor; SU-8","Atmospheric chemistry; Atmospheric pressure; Chemical stability; Desorption; Digital devices; Drop formation; Drug products; Liquids; Mass spectrometry; Metabolism; Photoionization; Physiology; Solvent extraction; Ambient mass spectrometries; Atmospheric pressure photo ionization; Cytochrome p450; Desorption/ionization; Drug distribution; Drug metabolisms; Liquid-liquid extraction; Micro-reactor; SU-8; Digital microfluidics","Sikanen, T.; Drug Research Program, Viikinkaari 5E, Finland; email: tiina.sikanen@helsinki.fi",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85059027432
"Waddington I.","7003825140;","Changing patterns of drug use in professional cycling: Implications for anti-doping policy",2018,"Doping in Cycling: Interdisciplinary Perspectives",,,,"31","44",,3,"10.4324/9781351103879-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074648044&doi=10.4324%2f9781351103879-3&partnerID=40&md5=6408f0394bd34d0c3ccf987e0b27ef2a","Norwegian School of Sport Sciences, Norway","Waddington, I., Norwegian School of Sport Sciences, Norway",,,"Waddington, I.; Norwegian School of Sport SciencesNorway",Book Chapter,"Final","",Scopus,2-s2.0-85074648044
