Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Open Access,Source,EID
"Chu M.-C., Morimoto C., Kawai C., Miyao M., Tamaki K.","57939989600;56938099700;55319424100;55215054900;7202910992;","Effects of DNA degradation and genotype imputation on high-density SNP microarray in pairwise kinship analysis",2023,"Legal Medicine","60",,"102158","","",,,"10.1016/j.legalmed.2022.102158","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140470673&doi=10.1016%2fj.legalmed.2022.102158&partnerID=40&md5=22d698926f0408df0339b5c8da1e4473","Department of Forensic Medicine, Kyoto University Graduate School of Medicine, Yoshida-Konoe-cho, Sakyo-ku, Kyoto, 606-8501, Japan; Forensic Science Laboratory, Kyoto Prefectural Police Headquarters, 85-3, Yabunouchi-cho, Kamigyo-ku, Kyoto, 602-8550, Japan","Chu, M.-C., Department of Forensic Medicine, Kyoto University Graduate School of Medicine, Yoshida-Konoe-cho, Sakyo-ku, Kyoto, 606-8501, Japan; Morimoto, C., Department of Forensic Medicine, Kyoto University Graduate School of Medicine, Yoshida-Konoe-cho, Sakyo-ku, Kyoto, 606-8501, Japan, Forensic Science Laboratory, Kyoto Prefectural Police Headquarters, 85-3, Yabunouchi-cho, Kamigyo-ku, Kyoto, 602-8550, Japan; Kawai, C., Department of Forensic Medicine, Kyoto University Graduate School of Medicine, Yoshida-Konoe-cho, Sakyo-ku, Kyoto, 606-8501, Japan; Miyao, M., Department of Forensic Medicine, Kyoto University Graduate School of Medicine, Yoshida-Konoe-cho, Sakyo-ku, Kyoto, 606-8501, Japan; Tamaki, K., Department of Forensic Medicine, Kyoto University Graduate School of Medicine, Yoshida-Konoe-cho, Sakyo-ku, Kyoto, 606-8501, Japan","DNA microarray; high-density SNPs; Imputation; Pairwise kinship analysis","adult; article; chromosome; disaster victim; DNA degradation; drug efficacy; gene frequency; genotype; human; microarray analysis; probability; single nucleotide polymorphism array","Tamaki, K.; Department of Forensic Medicine, Japan; email: ktamaki@fp.med.kyoto-u.ac.jp",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85140470673
"Kawai C., Miyao M., Kotani H., Minami H., Abiru H., Hamayasu H., Yamamoto A., Tamaki K.","57566153700;55215054900;57683451900;57201731570;6701496847;57216188765;57565954500;57565169300;","Systemic amyloidosis with amyloid goiter: An autopsy report",2023,"Legal Medicine","60",,"102167","","",,,"10.1016/j.legalmed.2022.102167","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140288381&doi=10.1016%2fj.legalmed.2022.102167&partnerID=40&md5=0961297677eb6aef76881c1b6e9d76e3","Department of Forensic Medicine, Kyoto University Graduate School of Medicine, Kyoto, Japan; Department of Forensic Medicine and Sciences, Mie University Graduate School of Medicine, Mie, Japan; Center for Medical Education, Kyoto University Graduate School of Medicine, Kyoto, Japan","Kawai, C., Department of Forensic Medicine, Kyoto University Graduate School of Medicine, Kyoto, Japan; Miyao, M., Department of Forensic Medicine, Kyoto University Graduate School of Medicine, Kyoto, Japan; Kotani, H., Department of Forensic Medicine and Sciences, Mie University Graduate School of Medicine, Mie, Japan; Minami, H., Department of Forensic Medicine, Kyoto University Graduate School of Medicine, Kyoto, Japan; Abiru, H., Department of Forensic Medicine, Kyoto University Graduate School of Medicine, Kyoto, Japan; Hamayasu, H., Department of Forensic Medicine, Kyoto University Graduate School of Medicine, Kyoto, Japan; Yamamoto, A., Center for Medical Education, Kyoto University Graduate School of Medicine, Kyoto, Japan; Tamaki, K., Department of Forensic Medicine, Kyoto University Graduate School of Medicine, Kyoto, Japan","AA amyloidosis; Amyloid goiter; Disease-modifying anti-rheumatic drug; Heart failure; Rheumatoid arthritis; Thyroidism","amino terminal pro brain natriuretic peptide; amyloid A protein; C reactive protein; congo red; creatine kinase; cyclic citrullinated peptide antibody; liothyronine; thyroglobulin; thyroxine; Article; autopsy; biochemical analysis; birefringence; blood cell count; cell destruction; controlled study; female; goiter; heart amyloidosis; heart failure; heart tissue; heart ventricle hypertrophy; histology; human; human cell; human tissue; hyperthyroidism; immunohistochemistry; inflammation; postmortem computed tomography; rheumatoid arthritis; thyroid gland","Miyao, M.; Department of Forensic Medicine, Yoshida-Konoe-cho, Sakyo-ku, Japan; email: miyaom@fp.med.kyoto-u.ac.jp",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85140288381
"Aldubayyan A.A., Castrignanò E., Elliott S., Abbate V.","57220778957;45761020800;57674037400;35188599600;","Development and validation of a chiral LC-MS/MS method for the separation and quantification of four synthetic cathinones in human whole blood and its application in stability analysis",2023,"Talanta","253",,"123986","","",,,"10.1016/j.talanta.2022.123986","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139591952&doi=10.1016%2fj.talanta.2022.123986&partnerID=40&md5=85fb3be0d7ce5a339cee2dbe0ce50ed9","Department of Analytical, Environmental & Forensic Sciences, Faculty of Life Sciences & Medicine, King's College London, London, United Kingdom; Department of Toxicology, Central Military Laboratory and Blood Bank, Prince Sultan Military Medical City, Riyadh, Saudi Arabia; Elliott Forensic Consulting, Birmingham, United Kingdom","Aldubayyan, A.A., Department of Analytical, Environmental & Forensic Sciences, Faculty of Life Sciences & Medicine, King's College London, London, United Kingdom, Department of Toxicology, Central Military Laboratory and Blood Bank, Prince Sultan Military Medical City, Riyadh, Saudi Arabia; Castrignanò, E., Department of Analytical, Environmental & Forensic Sciences, Faculty of Life Sciences & Medicine, King's College London, London, United Kingdom; Elliott, S., Department of Analytical, Environmental & Forensic Sciences, Faculty of Life Sciences & Medicine, King's College London, London, United Kingdom, Elliott Forensic Consulting, Birmingham, United Kingdom; Abbate, V., Department of Analytical, Environmental & Forensic Sciences, Faculty of Life Sciences & Medicine, King's College London, London, United Kingdom","Chiral LC-MS/MS; Stability; Synthetic cathinones; Whole blood","Blood; Chirality; Drug products; Enantiomers; Enantioselectivity; Liquid chromatography; Mass spectrometry; Stereochemistry; Cathinone; Chiral centers; Chiral LC-MS/MS; Drug markets; Enantioselective degradation; ITS applications; Recreational drugs; Stability analyze; Synthetic cathinone; Whole blood; Stability","Abbate, V.; Department of Analytical, United Kingdom; email: vincenzo.abbate@kcl.ac.uk",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85139591952
"Abdulhussein S.K., Al-Kazazz F.F.M., Rheima A.M.","57824516100;55927523500;57699330300;","The Role of Nanomaterials in the Recent Development of Electrochemical Biosensors",2023,"Portugaliae Electrochimica Acta","41","3",,"211","221",,,"10.4152/pea.2023410303","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141435113&doi=10.4152%2fpea.2023410303&partnerID=40&md5=63a700c4cfcdd953afd02900ab61aa87","Department of Chemistry, College of Science, Mustansiriyah University, Baghdad, Iraq","Abdulhussein, S.K., Department of Chemistry, College of Science, Mustansiriyah University, Baghdad, Iraq; Al-Kazazz, F.F.M., Department of Chemistry, College of Science, Mustansiriyah University, Baghdad, Iraq; Rheima, A.M., Department of Chemistry, College of Science, Mustansiriyah University, Baghdad, Iraq","BS analytical techniques; enzyme BS and nanoenzymatic sensors; NBS; NT application",,"Rheima, A.M.; Department of Chemistry, Iraq; email: arahema@uowasit.edu.iq",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85141435113
"Couch A.N., Sharp J., Davidson J.T.","57220863588;57843996800;57201377239;","Assessing the effectiveness of the NIST DART-MS Forensics Database and Data Interpretation Tool for designer drug screening with alternative instrumentation",2023,"International Journal of Mass Spectrometry","483",,"116964","","",,,"10.1016/j.ijms.2022.116964","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140804742&doi=10.1016%2fj.ijms.2022.116964&partnerID=40&md5=2ae772f566095185e7eaa3b300d16515","Department of Forensic Science, Sam Houston State University, Huntsville, TX, United States","Couch, A.N., Department of Forensic Science, Sam Houston State University, Huntsville, TX, United States; Sharp, J., Department of Forensic Science, Sam Houston State University, Huntsville, TX, United States; Davidson, J.T., Department of Forensic Science, Sam Houston State University, Huntsville, TX, United States",,,"Davidson, J.T.; Department of Forensic Science, United States; email: jtdavidson@shsu.edu",Article,"Final","",Scopus,2-s2.0-85140804742
"Deyasi A., Basak A., Sarkar A.","55053484300;57210345032;57944961700;","Application of Nanomaterial-Based Biosensors for Healthcare Diagnostics",2023,"Smart Innovation, Systems and Technologies","322",,,"103","122",,,"10.1007/978-981-19-7107-5_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140773740&doi=10.1007%2f978-981-19-7107-5_6&partnerID=40&md5=294191b2e371de573256ea3ff0c0fbd1","Department of Electronics and Communication Engineering, RCC Institute of Information Technology, Kolkata, 700015, India; Department of Electronics and Communication Engineering, Brainware University, Barasat, 700125, India; Department of Electronics and Communication Engineering, Kalyani Govt Engineering College, Kalyani, 741235, India","Deyasi, A., Department of Electronics and Communication Engineering, RCC Institute of Information Technology, Kolkata, 700015, India; Basak, A., Department of Electronics and Communication Engineering, Brainware University, Barasat, 700125, India; Sarkar, A., Department of Electronics and Communication Engineering, Kalyani Govt Engineering College, Kalyani, 741235, India",,"Carbon nanotubes; Diagnosis; Potable water; Semiconductor quantum dots; Water pollution; Biochemical interactions; Imprinted structures; Low-costs; Magnetic nanomaterials; Material science; Molecularly Imprinted Polymer; Multifactorial disease; Nanoresonators; Optical-; Science research; Biosensors","Deyasi, A.; Department of Electronics and Communication Engineering, India; email: deyasi_arpan@yahoo.co.in",Book Chapter,"Final","",Scopus,2-s2.0-85140773740
"Rodda L.N.","39262267000;","Target Analysis of Synthetic Opioids in Blood and Urine",2023,"Methods in Pharmacology and Toxicology",,,,"73","91",,,"10.1007/978-1-0716-2605-4_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140248775&doi=10.1007%2f978-1-0716-2605-4_4&partnerID=40&md5=bd5a552e94f1ecbf5c3df8acb3e67dd1","Forensic Laboratory Division, Office of Chief Medical Examiner, City and County of San Francisco, San Francisco, CA, United States","Rodda, L.N., Forensic Laboratory Division, Office of Chief Medical Examiner, City and County of San Francisco, San Francisco, CA, United States","Blood; Fentalog; LC-MS/MS; Mu-opioid receptor; Potency; Urine; Utopioids","mu opiate receptor; opiate; blood; chemical analysis; drug potency; drug structure; human; liquid liquid extraction; solid phase extraction; urine","Rodda, L.N.; Forensic Laboratory Division, United States; email: luke.rodda@sfgov.org",Book Chapter,"Final","",Scopus,2-s2.0-85140248775
"Varì M.R., Pichini S., Malaca S., Di Trana A., La Maida N., Graziano S., Mannocchi G., Brunetti P., Lo Faro A.F., Busardò F.P.","57205476363;7006708779;57204097817;57209004091;57212927931;23995162800;55701542100;57216851000;57128566900;55931641600;","Target Analysis of NPS in Oral Fluid",2023,"Methods in Pharmacology and Toxicology",,,,"145","197",,,"10.1007/978-1-0716-2605-4_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140248594&doi=10.1007%2f978-1-0716-2605-4_7&partnerID=40&md5=093e9f0b7dd9320c73105bd0ea1856a5","National Centre on Addiction and Doping, National Institute of Health, Rome, Italy; Department of Excellence of Biomedical Science and Public Health, University “Politecnica delle Marche”, Ancona, Italy; International School of Advance Studies (ISAS), University of Camerino,  Piazza Cavour 19/f, Camerino, 62032, Italy","Varì, M.R., National Centre on Addiction and Doping, National Institute of Health, Rome, Italy; Pichini, S., National Centre on Addiction and Doping, National Institute of Health, Rome, Italy; Malaca, S., Department of Excellence of Biomedical Science and Public Health, University “Politecnica delle Marche”, Ancona, Italy; Di Trana, A., Department of Excellence of Biomedical Science and Public Health, University “Politecnica delle Marche”, Ancona, Italy; La Maida, N., Department of Excellence of Biomedical Science and Public Health, University “Politecnica delle Marche”, Ancona, Italy; Graziano, S., National Centre on Addiction and Doping, National Institute of Health, Rome, Italy; Mannocchi, G., International School of Advance Studies (ISAS), University of Camerino,  Piazza Cavour 19/f, Camerino, 62032, Italy; Brunetti, P., Department of Excellence of Biomedical Science and Public Health, University “Politecnica delle Marche”, Ancona, Italy; Lo Faro, A.F., Department of Excellence of Biomedical Science and Public Health, University “Politecnica delle Marche”, Ancona, Italy; Busardò, F.P., Department of Excellence of Biomedical Science and Public Health, University “Politecnica delle Marche”, Ancona, Italy","Gas chromatography tandem mass spectrometry; High resolution mass spectrometry; Liquid chromatography tandem mass spectrometry; New psychoactive substances; Oral fluid","benzodiazepine; cannabinoid; cathinone; fentanyl; opiate; phenethylamine; piperazine; psychotropic agent; tryptamine; body fluid; concentration (parameter); limit of detection; limit of quantitation; liquid chromatography-mass spectrometry; liquid liquid extraction; oral fluid; solid phase extraction; ultra performance liquid chromatography","Varì, M.R.; National Centre on Addiction and Doping, Italy; email: mariarosaria.vari@iss.it",Book Chapter,"Final","",Scopus,2-s2.0-85140248594
"Lendoiro E., de-Castro-Ríos A.","37012129400;9234995600;","Target Analysis of Synthetic Cathinones in Blood and Urine",2023,"Methods in Pharmacology and Toxicology",,,,"21","43",,,"10.1007/978-1-0716-2605-4_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140231931&doi=10.1007%2f978-1-0716-2605-4_2&partnerID=40&md5=07d341a05c12016704ef4e29b2ba3b9c","Toxicology Service, Institute of Forensic Sciences, Universidade de Santiago de Compostela, Santiago de Compostela, Spain","Lendoiro, E., Toxicology Service, Institute of Forensic Sciences, Universidade de Santiago de Compostela, Santiago de Compostela, Spain; de-Castro-Ríos, A., Toxicology Service, Institute of Forensic Sciences, Universidade de Santiago de Compostela, Santiago de Compostela, Spain","Blood; GC-MS; LC-MS/MS; Liquid-liquid extraction; Solid-phase extraction; Synthetic cathinones; Urine","amphetamine; cathinone; analytic method; drug structure; enantiomer; forensic toxicology; human; solid phase extraction","Lendoiro, E.; Toxicology Service, Spain; email: elena.lendoiro@usc.es",Book Chapter,"Final","",Scopus,2-s2.0-85140231931
"Liu J., Zhang X., Liu Y., Fan J., Zhang M., Yu H., Li W., Li J., Li Z., Yan J., Zhang G.","57193000467;57222002197;57438051300;57928121000;57927799900;57209280200;57200676224;57208743054;57192999636;8550699800;8645208100;","A recombinase polymerase amplification (RPA) combined with strip visualization method for RNA-based presumptive tests of saliva and vaginal secretion",2023,"Forensic Science International: Genetics","62",,"102788","","",,,"10.1016/j.fsigen.2022.102788","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139860746&doi=10.1016%2fj.fsigen.2022.102788&partnerID=40&md5=d35898223d1ce6dd67acc6954ecaf78f","School of Forensic Medicine, Shanxi Medical University, Shanxi, Jinzhong, 030619, China","Liu, J., School of Forensic Medicine, Shanxi Medical University, Shanxi, Jinzhong, 030619, China; Zhang, X., School of Forensic Medicine, Shanxi Medical University, Shanxi, Jinzhong, 030619, China; Liu, Y., School of Forensic Medicine, Shanxi Medical University, Shanxi, Jinzhong, 030619, China; Fan, J., School of Forensic Medicine, Shanxi Medical University, Shanxi, Jinzhong, 030619, China; Zhang, M., School of Forensic Medicine, Shanxi Medical University, Shanxi, Jinzhong, 030619, China; Yu, H., School of Forensic Medicine, Shanxi Medical University, Shanxi, Jinzhong, 030619, China; Li, W., School of Forensic Medicine, Shanxi Medical University, Shanxi, Jinzhong, 030619, China; Li, J., School of Forensic Medicine, Shanxi Medical University, Shanxi, Jinzhong, 030619, China; Li, Z., School of Forensic Medicine, Shanxi Medical University, Shanxi, Jinzhong, 030619, China; Yan, J., School of Forensic Medicine, Shanxi Medical University, Shanxi, Jinzhong, 030619, China; Zhang, G., School of Forensic Medicine, Shanxi Medical University, Shanxi, Jinzhong, 030619, China","Lateral flow dipstick (LFD); MRNA; Reverse transcription-recombinase polymerase amplification (RT-RPA); Saliva estimation; Vaginal secretion estimation","messenger RNA; protein stath; RNA; serine peptidase inhibitor Kazal type 5; unclassified drug; antigen detection; Article; blood sampling; body fluid; controlled study; cross reaction; female; human; human tissue; limit of detection; menstrual cycle; nose secretion; recombinase polymerase amplification; reverse transcription recombinase polymerase amplification; RNA extraction; room temperature; saliva; sensitivity and specificity; skin; sperm; sweat; temperature; tissue specificity; urine sampling; vaginal secretion","Yan, J.; School of Forensic Medicine, Shanxi, China; email: yanjw@sxmu.edu.cn",Article,"Final","",Scopus,2-s2.0-85139860746
